연번,시군명,업체명,소재지,사육업종,등록 또는 허가여부,데이터기준일자,매칭_상호,매칭_카테고리,매칭_지번주소,매칭_도로명주소,위도,경도
368,김제시,하나농장,전북특별자치도 김제시 용지면 신정리 **번지 *호 (**-*) ,종계/산란계,허가,2025-05-15,하나농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 신정리 19,전북특별자치도 김제시 용지면 용수4길 90,35.8503417,126.9885028
369,김제시,전북계란영농조합,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,종계/산란계,등록 ,2025-05-15,,,,,,
370,김제시,전북계란영농조합,"전북특별자치도 김제시 용지면 예촌리 **번지 *호 ,**-**,**-** ",종계/산란계,등록 ,2025-05-15,,,,,,
371,김제시,행운농장,"전북특별자치도 김제시 용지면 용수리 ***번지 **호 (***-**, ***-**) ",종계/산란계,허가,2025-05-15,행운농장,"쇼핑,유통>과일",전북특별자치도 김제시 흥사동 82-1,전북특별자치도 김제시 승반길 186,35.8260448,126.9081476
372,김제시,푸른농장,"전북특별자치도 김제시 용지면 장신리 ***번지 **호 (***-**, ***-**) ",종계/산란계,허가,2025-05-15,,,,,,
373,김제시,복농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
374,김제시,석일농장,전북특별자치도 김제시 용지면 신정리 *번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
375,김제시,환농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
376,김제시,새순2농장,전북특별자치도 김제시 용지면 신정리 **번지  ,종계/산란계,등록 ,2025-05-15,,,,,,
377,김제시,새순1농장,전북특별자치도 김제시 용지면 장신리 ***번지  ,종계/산란계,등록 ,2025-05-15,,,,,,
378,김제시,나주농장,전북특별자치도 김제시 용지면 용수리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
379,김제시,송삼3농장,전북특별자치도 김제시 용지면 용수리 ***번지 ***호  ,종계/산란계,허가,2025-05-15,,,,,,
380,김제시,우리농장,전북특별자치도 김제시 용지면 신정리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
381,김제시,사랑농장,전북특별자치도 김제시 용지면 예촌리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
382,김제시,억대농장,"전북특별자치도 김제시 용지면 장신리 ***번지 **호 (***-**, ***-**, ***-**, ***-**, ***-**) ",종계/산란계,허가,2025-05-15,,,,,,
383,김제시,영광농장,전북특별자치도 김제시 용지면 용수리 ***번지 **호  ,종계/산란계,허가,2025-05-15,영광농장,"축산업>가금류,조류사육",전북특별자치도 김제시 용지면 용수리 666-92,전북특별자치도 김제시 용지면 용지로 850-15,35.8550704,126.9934782
384,김제시,태영농장2,전북특별자치도 김제시 용지면 신정리 ***번지 *호 (***-**) ,종계/산란계,허가,2025-05-15,,,,,,
385,김제시,태영농장,전북특별자치도 김제시 용지면 신정리 ***번지 *호 (***-**) ,종계/산란계,허가,2025-05-15,,,,,,
386,김제시,지안농장,전북특별자치도 김제시 용지면 신정리 *번지 **호 (*-***) ,종계/산란계,허가,2025-05-15,,,,,,
387,김제시,일원농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,종계/산란계,등록 ,2025-05-15,,,,,,
388,김제시,수민농장,전북특별자치도 김제시 용지면 신정리 ***번지 *호  ,종계/산란계,허가,2025-05-15,,,,,,
389,김제시,미송농장,전북특별자치도 김제시 용지면 용암리 **번지 **호  ,종계/산란계,허가,2025-05-15,미송농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 용암리 20-11,전북특별자치도 김제시 용지면 석정로 760,35.8381926,126.9815358
390,김제시,미송농장2,"전북특별자치도 김제시 용지면 신정리 ***번지 **호 (***-**, ***-**, ***-**, ***-**, ***-**) ",종계/산란계,허가,2025-05-15,,,,,,
391,김제시,대영농장,전북특별자치도 김제시 용지면 효정리 ***번지 *호  ,종계/산란계,등록 ,2025-05-15,,,,,,
392,김제시,철진농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
393,김제시,임금농장,전북특별자치도 김제시 용지면 용암리 **번지 **호  ,한우,허가,2025-05-15,,,,,,
394,김제시,강상선농장,전북특별자치도 김제시 용지면 용암리 **번지 **호  ,한우,등록 ,2025-05-15,,,,,,
395,김제시,석 농장,전북특별자치도 김제시 용지면 용수리 ***번지  ,한우,허가,2025-05-15,,,,,,
396,김제시,무수농장,전북특별자치도 김제시 용지면 효정리 **번지 *호  ,한우,등록 ,2025-05-15,,,,,,
397,김제시,효정농장,전북특별자치도 김제시 용지면 효정리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
398,김제시,성림농장,"전북특별자치도 김제시 용지면 장신리 ***번지 **호 ,***-**, ***-**, ***-** ",한우,허가,2025-05-15,,,,,,
399,김제시,쌍용축사,전북특별자치도 김제시 용지면 용수리 ***번지  ,한우,허가,2025-05-15,,,,,,
400,김제시,천지농장,전북특별자치도 김제시 용지면 예촌리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
401,김제시,창현농장,전북특별자치도 김제시 용지면 예촌리 ***번지  ,한우,허가,2025-05-15,,,,,,
402,김제시,김해농장,전북특별자치도 김제시 용지면 예촌리 *번지 ***호  ,한우,등록 ,2025-05-15,,,,,,
403,김제시,신정농장,전북특별자치도 김제시 용지면 신정리 **번지  ,한우,등록 ,2025-05-15,,,,,,
404,김제시,주원농장,전북특별자치도 김제시 용지면 용암리 **번지 **호 (**-**) ,한우,허가,2025-05-15,,,,,,
405,김제시,보람농장,전북특별자치도 김제시 용지면 구암리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
406,김제시,맛샘농장,"전북특별자치도 김제시 용지면 송산리 ***번지 *호 , ***-*번지 ",한우,허가,2025-05-15,,,,,,
407,김제시,반식농장,전북특별자치도 김제시 용지면 신정리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
408,김제시,동혜농장,전북특별자치도 김제시 용지면 장신리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
409,김제시,황토농장,전북특별자치도 김제시 용지면 반교리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
410,김제시,부교농장,전북특별자치도 김제시 용지면 부교리 ***번지  ,한우,허가,2025-05-15,백자농원,"시설,건물>농공시설",전북특별자치도 김제시 용지면 부교리 9-16,전북특별자치도 김제시 용지면 백자1길 43,35.8198382,126.9957468
411,김제시,부교농장,전북특별자치도 김제시 용지면 부교리 ***번지  ,한우,허가,2025-05-15,백자농원,"시설,건물>농공시설",전북특별자치도 김제시 용지면 부교리 9-16,전북특별자치도 김제시 용지면 백자1길 43,35.8198382,126.9957468
412,김제시,종근농장,전북특별자치도 김제시 용지면 효정리 **번지 *   호  ,한우,등록 ,2025-05-15,,,,,,
413,김제시,은혜농장,전북특별자치도 김제시 용지면 용암리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
414,김제시,재연농장,전북특별자치도 김제시 용지면 효정리 **번지  ,한우,허가,2025-05-15,제연농원,"시설,건물>농공시설",전북특별자치도 김제시 황산면 봉월리 276-3,전북특별자치도 김제시 황산면 서옥길 104-16,35.78821,126.9577278
415,김제시,김농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,등록 ,2025-05-15,,,,,,
416,김제시,송삼한우농장,"전북특별자치도 김제시 용지면 용수리 ***번지 *호 (***-*, ***-*) ",한우,허가,2025-05-15,,,,,,
417,김제시,영민농장,전북특별자치도 김제시 용지면 예촌리 **번지 ***호  ,한우,등록 ,2025-05-15,,,,,,
418,김제시,예촌농장,전북특별자치도 김제시 용지면 예촌리 **번지 ***호  ,한우,등록 ,2025-05-15,일성농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 예촌리 53-13 일성농장,전북특별자치도 김제시 용지면 용지로 641 일성농장,35.8597172,126.9718932
419,김제시,종현농장,전북특별자치도 김제시 용지면 와룡리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
420,김제시,철이농장,전북특별자치도 김제시 용지면 반교리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
421,김제시,도원농장,전북특별자치도 김제시 용지면 예촌리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
422,김제시,만복농장,전북특별자치도 김제시 용지면 신정리 ***번지 (***-*) ,한우,허가,2025-05-15,,,,,,
423,김제시,와룡목장,"전북특별자치도 김제시 용지면 와룡리 **번지 *호 (**-*, **-*) ",한우,허가,2025-05-15,,,,,,
424,김제시,희망목장,전북특별자치도 김제시 용지면 와룡리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
425,김제시,택철농장,전북특별자치도 김제시 용지면 효정리 ***번지 **호  ,한우,등록 ,2025-05-15,,,,,,
426,김제시,순지농장,전북특별자치도 김제시 용지면 신정리 ***번지  ,한우,허가,2025-05-15,,,,,,
427,김제시,현농장,전북특별자치도 김제시 용지면 신정리 *번지 **호  ,한우,등록 ,2025-05-15,,,,,,
428,김제시,화순농장,전북특별자치도 김제시 용지면 효정리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
429,김제시,낙원농장,전북특별자치도 김제시 용지면 예촌리 ***번지 *호  ,한우,허가,2025-05-15,낙원농장,"시설,건물>농공시설",전북특별자치도 김제시 백구면 부용리 579-38,,35.883898,126.9529695
430,김제시,인호농장,전북특별자치도 김제시 용지면 부교리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
431,김제시,백자농장,전북특별자치도 김제시 용지면 부교리 산 *번지 *호  ,한우,허가,2025-05-15,백자농원,"시설,건물>농공시설",전북특별자치도 김제시 용지면 부교리 9-16,전북특별자치도 김제시 용지면 백자1길 43,35.8198382,126.9957468
432,김제시,꿈이있는목장,전북특별자치도 김제시 용지면 신정리 ***번지 *호 외*필지 ,한우,허가,2025-05-15,,,,,,
433,김제시,정우농장,"전북특별자치도 김제시 용지면 효정리 ***번지 *호 (***-*, ***-*, ***-**) ",한우,허가,2025-05-15,정우농장,"쇼핑,유통>과일",전북특별자치도 김제시 용지면 장신리 54-42,전북특별자치도 김제시 용지면 용지로 1009,35.8596761,127.0035221
434,김제시,창영농장,전북특별자치도 김제시 용지면 부교리 ***번지  ,한우,허가,2025-05-15,창영농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 부교리 694,전북특별자치도 김제시 용지면 황토로 245,35.8169135,126.9817785
435,김제시,남용농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
436,김제시,거성농장,전북특별자치도 김제시 용지면 반교리 *번지 **호  ,한우,허가,2025-05-15,,,,,,
437,김제시,장신농장,전북특별자치도 김제시 용지면 장신리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
438,김제시,신흥농장,전북특별자치도 김제시 용지면 송산리 ***번지  ,한우,허가,2025-05-15,신흥농장,"축산업>가금류,조류사육",전라북도 김제시 용지면 효정리 550-7,전라북도 김제시 용지면 용지로 125-6,35.8298263,126.9427674
439,김제시,소찜매농장,전북특별자치도 김제시 용지면 부교리 **번지 **호  ,한우,허가,2025-05-15,,,,,,
440,김제시,백과농장,전북특별자치도 김제시 용지면 부교리 ***번지  ,한우,허가,2025-05-15,,,,,,
441,김제시,용암농장,전북특별자치도 김제시 용지면 용암리 ***번지 (***-*) ,한우,허가,2025-05-15,,,,,,
442,김제시,서도농장,전북특별자치도 김제시 용지면 효정리 ***번지 **호  ,한우,허가,2025-05-15,코아페농장,"쇼핑,유통>닭",전북특별자치도 김제시 금구면 서도리 94,전북특별자치도 김제시 금구면 서도1길 38-5,35.7715052,127.0011335
443,김제시,이선농장,전북특별자치도 김제시 용지면 용수리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
444,김제시,대한농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
445,김제시,호남농장,전북특별자치도 김제시 용지면 장신리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
446,김제시,진규농장,전북특별자치도 김제시 용지면 장신리 ***번지 ***호  ,한우,등록 ,2025-05-15,,,,,,
447,김제시,용지농장,전북특별자치도 김제시 용지면 신정리 ***번지 *호  ,한우,등록 ,2025-05-15,하나농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 신정리 19,전북특별자치도 김제시 용지면 용수4길 90,35.8503417,126.9885028
448,김제시,송삼농장,전북특별자치도 김제시 용지면 용수리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
449,김제시,알이랑농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,등록 ,2025-05-15,,,,,,
450,김제시,금계농장,전북특별자치도 김제시 용지면 부교리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
451,김제시,신교농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
452,김제시,박종일농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
453,김제시,영섭농장,전북특별자치도 김제시 용지면 효정리 ***번지 (***) ,한우,허가,2025-05-15,영섭농장,축산업>육우사육,전북특별자치도 김제시 용지면 효정리 108,전북특별자치도 김제시 용지면 효정2길 152,35.8230367,126.9573794
454,김제시,동순농장,전북특별자치도 김제시 용지면 효정리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
455,김제시,안상문농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
456,김제시,우송농장,전북특별자치도 김제시 용지면 효정리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
457,김제시,찬우농장,전북특별자치도 김제시 용지면 용암리 ***번지  ,한우,허가,2025-05-15,,,,,,
458,김제시,양농장,전북특별자치도 김제시 용지면 예촌리 ***번지  ,한우,허가,2025-05-15,,,,,,
459,김제시,효정우미농장,전북특별자치도 김제시 용지면 효정리 ***번지  ,한우,허가,2025-05-15,,,,,,
460,김제시,용지농장,"전북특별자치도 김제시 용지면 송산리 ***번지 *호 (***, ***-*, ***-*, ***-**) ",한우,허가,2025-05-15,하늘담은농장,농업>과실재배,전북특별자치도 김제시 용지면 송산리 617 하늘담은농장,,35.8647216,126.9520249
461,김제시,용지농장,전북특별자치도 김제시 용지면 송산리 ***번지  ,한우,허가,2025-05-15,하늘담은농장,농업>과실재배,전북특별자치도 김제시 용지면 송산리 617 하늘담은농장,,35.8647216,126.9520249
462,김제시,중근농장,전북특별자치도 김제시 용지면 부교리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
463,김제시,옛살비,전북특별자치도 김제시 용지면 신정리 ***번지  ,한우,허가,2025-05-15,,,,,,
464,김제시,신정축산,전북특별자치도 김제시 용지면 신정리 ***번지 **호 외 *필지 ,한우,허가,2025-05-15,,,,,,
465,김제시,용지황토한우영농조합법인,전북특별자치도 김제시 용지면 부교리 **번지 **호  ,한우,등록 ,2025-05-15,,,,,,
466,김제시,용지황토한우영농조합법인,전북특별자치도 김제시 용지면 부교리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
467,김제시,용지황토한우영농조합법인,전북특별자치도 김제시 용지면 구암리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
468,김제시,쌍용농장,전북특별자치도 김제시 용지면 신정리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
469,김제시,쌍용농장,전북특별자치도 김제시 용지면 신정리 *번지  ,한우,등록 ,2025-05-15,,,,,,
470,김제시,신암농장,전북특별자치도 김제시 용지면 용암리 **번지 **호  ,한우,등록 ,2025-05-15,,,,,,
471,김제시,유일농장,전북특별자치도 김제시 용지면 용수리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
472,김제시,지훈농장,전북특별자치도 김제시 용지면 예촌리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
473,김제시,거성농장,전북특별자치도 김제시 용지면 용암리 ***번지 **호 외*필지 ,한우,등록 ,2025-05-15,,,,,,
474,김제시,동희농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
475,김제시,와룡리목장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
476,김제시,용지농장,전북특별자치도 김제시 용지면 예촌리 *번지 ***호  ,한우,등록 ,2025-05-15,일성농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 예촌리 53-13 일성농장,전북특별자치도 김제시 용지면 용지로 641 일성농장,35.8597172,126.9718932
477,김제시,장신농장,전북특별자치도 김제시 용지면 장신리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
478,김제시,하늘농장,전북특별자치도 김제시 용지면 와룡리 ***번지  ,한우,허가,2025-05-15,,,,,,
479,김제시,도리실농장,전북특별자치도 김제시 용지면 용암리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
480,김제시,용암농장,전북특별자치도 김제시 용지면 용암리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
481,김제시,춘자농장,전북특별자치도 김제시 용지면 용수리 ***번지  ,한우,허가,2025-05-15,,,,,,
482,김제시,신교농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,등록 ,2025-05-15,,,,,,
483,김제시,주신농장,"전북특별자치도 김제시 용지면 예촌리 ***번지 **호 (***-**, ***-**) ",한우,허가,2025-05-15,,,,,,
484,김제시,부자농장,전북특별자치도 김제시 용지면 신정리 **번지 **호  ,한우,등록 ,2025-05-15,,,,,,
485,김제시,향토농장2,전북특별자치도 김제시 용지면 예촌리 ***번지 *호 (***-*) ,한우,허가,2025-05-15,,,,,,
486,김제시,우정농장,전북특별자치도 김제시 용지면 효정리 ***번지 **호 /***-* ,한우,허가,2025-05-15,,,,,,
487,김제시,재훈농장,전북특별자치도 김제시 용지면 신정리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
488,김제시,초림농장,전북특별자치도 김제시 용지면 예촌리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
489,김제시,한울농장,전북특별자치도 김제시 용지면 부교리 **번지 **호  ,한우,허가,2025-05-15,,,,,,
490,김제시,알퐁소농장2,전북특별자치도 김제시 용지면 신정리 **번지 **호  ,한우,허가,2025-05-15,,,,,,
491,김제시,근조농장,전북특별자치도 김제시 용지면 효정리 산 **번지 *호  ,한우,등록 ,2025-05-15,,,,,,
492,김제시,주란농장1,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
493,김제시,주란농장2,"전북특별자치도 김제시 용지면 장신리 ***번지 ***호 (장신리 ***-**, ***-**, ***-***, 신정리 *-*, *-***, *-***, *-***) ",한우,허가,2025-05-15,,,,,,
494,김제시,송삼농장2(용지),"전북특별자치도 김제시 용지면 용수리 ***번지 (***, ***) ",한우,허가,2025-05-15,,,,,,
495,김제시,송삼농장3,전북특별자치도 김제시 용지면 용수리 ***번지 외 *필지(***) ,한우,허가,2025-05-15,,,,,,
496,김제시,혁이네 농장,전북특별자치도 김제시 용지면 신정리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
497,김제시,사랑농장,전북특별자치도 김제시 용지면 신정리 *번지 **호 장신리 ***-* ,한우,허가,2025-05-15,,,,,,
498,김제시,경기농장,전북특별자치도 김제시 용지면 반교리 *번지 **호  ,한우,허가,2025-05-15,,,,,,
499,김제시,정남농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
500,김제시,성만농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
501,김제시,마루농장,전북특별자치도 김제시 용지면 부교리 **번지 **호  ,한우,허가,2025-05-15,,,,,,
502,김제시,종축농장,전북특별자치도 김제시 용지면 와룡리 **번지 *호  ,한우,등록 ,2025-05-15,,,,,,
503,김제시,부식농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
504,김제시,현석농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,등록 ,2025-05-15,,,,,,
505,김제시,보석골농장,전북특별자치도 김제시 용지면 장신리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
506,김제시,형제농장,전북특별자치도 김제시 용지면 예촌리 **번지 **호  ,한우,허가,2025-05-15,형제농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 예촌리 53-28,전북특별자치도 김제시 용지면 봉의로 21,35.8612135,126.9728406
507,김제시,형제농장,전북특별자치도 김제시 용지면 예촌리 산 *번지  ,한우,허가,2025-05-15,형제농장,"시설,건물>농공시설",전북특별자치도 김제시 용지면 예촌리 53-28,전북특별자치도 김제시 용지면 봉의로 21,35.8612135,126.9728406
508,김제시,거성농장,전북특별자치도 김제시 용지면 용암리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
509,김제시,성일농장,전북특별자치도 김제시 용지면 반교리 *번지 *호  ,한우,허가,2025-05-15,,,,,,
510,김제시,마항농장,전북특별자치도 김제시 용지면 와룡리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
511,김제시,자흥농장,전북특별자치도 김제시 용지면 부교리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
512,김제시,알퐁소농장,전북특별자치도 김제시 용지면 신정리 **번지 *호 외 *필지 ,한우,허가,2025-05-15,,,,,,
513,김제시,남도축산,전북특별자치도 김제시 용지면 구암리 ***번지 *호 외 *필지 ,한우,등록 ,2025-05-15,,,,,,
514,김제시,기쁨농장,전북특별자치도 김제시 용지면 구암리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
515,김제시,우주농장,전북특별자치도 김제시 용지면 반교리 *번지  ,한우,등록 ,2025-05-15,,,,,,
516,김제시,개토농장,전북특별자치도 김제시 용지면 송산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
517,김제시,승일농축장,전북특별자치도 김제시 용지면 송산리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
518,김제시,영석농장,전북특별자치도 김제시 용지면 송산리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
519,김제시,우수농장,전북특별자치도 김제시 용지면 예촌리 ***번지  ,한우,허가,2025-05-15,,,,,,
520,김제시,정남농장,전북특별자치도 김제시 용지면 구암리 ***번지  ,한우,허가,2025-05-15,,,,,,
521,김제시,해연농장,전북특별자치도 김제시 용지면 예촌리 ***번지  ,한우,허가,2025-05-15,,,,,,
522,김제시,철민농장,"전북특별자치도 김제시 용지면 예촌리 ***번지 (***-*, ***-*) ",한우,허가,2025-05-15,,,,,,
523,김제시,화규농장,전북특별자치도 김제시 용지면 구암리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
524,김제시,축복농장,"전북특별자치도 김제시 백구면 월봉리 *번지 *호 (*, *) ",육계,허가,2025-05-15,,,,,,
525,김제시,학동양계장,전북특별자치도 김제시 백구면 석담리 ***번지 **호  ,육계,허가,2025-05-15,,,,,,
526,김제시,백제목장,"전북특별자치도 김제시 백구면 백구리 ***번지 (***-*, ***-*, ***-*) ",젖소,허가,2025-05-15,,,,,,
527,김제시,깜순이농장,전북특별자치도 김제시 백구면 학동리 ***번지  ,젖소,허가,2025-05-15,,,,,,
528,김제시,김인희농장,"전북특별자치도 김제시 백구면 학동리 ***번지 *호 , ***-* ",젖소,허가,2025-05-15,,,,,,
529,김제시,번영로농장,"전북특별자치도 김제시 백구면 석담리 ***번지 ***,***-*,***-*,***-* ",젖소,허가,2025-05-15,부부포도원,"시설,건물>농공시설",전북특별자치도 김제시 백구면 반월리 197-3,전북특별자치도 김제시 백구면 번영로 2389-28,35.9016078,126.9587642
530,김제시,나의목장 2농장,"전북특별자치도 김제시 백구면 석담리 ***번지 , ***-* ",젖소,허가,2025-05-15,,,,,,
531,김제시,나의목장,"전북특별자치도 김제시 백구면 학동리 ***번지 *호 (***-*, ***-*, ***-*, ***-**) ",젖소,허가,2025-05-15,,,,,,
532,김제시,청춘농장 제2농장,전북특별자치도 김제시 백구면 학동리 ***번지 *호  ,젖소,허가,2025-05-15,,,,,,
533,김제시,불무목장,전북특별자치도 김제시 백구면 학동리 ***번지  ,젖소,허가,2025-05-15,,,,,,
534,김제시,청춘목장,"전북특별자치도 김제시 백구면 학동리 ***번지 (***, ***-*, ***-**) ",젖소,허가,2025-05-15,,,,,,
535,김제시,창원목장,"전북특별자치도 김제시 백구면 학동리 ***번지 *호 (***-*, ***-*, ***-*) ",젖소,허가,2025-05-15,,,,,,
536,김제시,백운농장,전북특별자치도 김제시 백구면 백구리 ***번지 **호  ,젖소,허가,2025-05-15,,,,,,
537,김제시,다래농장,"전북특별자치도 김제시 백구면 학동리 ***번지 *호 ***-*,***-** ",종계/산란계,허가,2025-05-15,다래농장,"시설,건물>농공시설",전북특별자치도 김제시 백구면 학동리 645-54,전북특별자치도 김제시 백구면 봉의로 72-40,35.8666975,126.9733659
538,김제시,백훈농장,전북특별자치도 김제시 백구면 학동리 ***번지 **호  ,종계/산란계,허가,2025-05-15,,,,,,
539,김제시,기영농장,전북특별자치도 김제시 백구면 부용리 ****번지 *호  ,한우,허가,2025-05-15,,,,,,
540,김제시,창원목장,전북특별자치도 김제시 백구면 학동리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
541,김제시,재철한우,전북특별자치도 김제시 백구면 학동리 ***번지  ,한우,허가,2025-05-15,,,,,,
542,김제시,송철호농장,전북특별자치도 김제시 백구면 영상리 **번지  ,한우,등록 ,2025-05-15,,,,,,
543,김제시,청송농장,전북특별자치도 김제시 백구면 학동리 ***번지  ,한우,허가,2025-05-15,,,,,,
544,김제시,학동농장,"전북특별자치도 김제시 백구면 학동리 ***번지 *호 , ***-*번지 ",한우,허가,2025-05-15,,,,,,
545,김제시,재철농장,전북특별자치도 김제시 백구면 학동리 ***번지  ,한우,허가,2025-05-15,,,,,,
546,김제시,대명축사,전북특별자치도 김제시 백구면 부용리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
547,김제시,학동농장,전북특별자치도 김제시 백구면 학동리 ***번지  ,한우,허가,2025-05-15,,,,,,
548,김제시,송주축산,전북특별자치도 김제시 백구면 부용리 ***번지  ,한우,허가,2025-05-15,,,,,,
549,김제시,학교당농장,전북특별자치도 김제시 백구면 월봉리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
550,김제시,대성농장,전북특별자치도 김제시 부량면 대평리 ***번지 *호  ,오리,허가,2025-05-15,,,,,,
551,김제시,청정광원목장,전북특별자치도 김제시 부량면 용성리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
552,김제시,금화농장,전북특별자치도 김제시 부량면 용성리 ***번지 **호 외*필지 ,한우,허가,2025-05-15,,,,,,
553,김제시,순경농장,전북특별자치도 김제시 부량면 대평리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
554,김제시,금강농장,전북특별자치도 김제시 부량면 금강리 **번지 **호  ,한우,허가,2025-05-15,,,,,,
555,김제시,장귀농장,전북특별자치도 김제시 부량면 월승리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
556,김제시,옥신농장,전북특별자치도 김제시 부량면 옥정리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
557,김제시,유흥농장,전북특별자치도 김제시 부량면 용성리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
558,김제시,신정농장,전북특별자치도 김제시 부량면 옥정리 ***번지 **호 외 *필지 ,한우,허가,2025-05-15,,,,,,
559,김제시,금화농장,전북특별자치도 김제시 부량면 월승리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
560,김제시,신용한우영농조합법인,전북특별자치도 김제시 부량면 신용리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
561,김제시,한우농장,전북특별자치도 김제시 부량면 옥정리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
