순번,시군구명,업체명,소재지,주사육업종,데이터기준일
358,완주군,그린농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
359,완주군,성진농장,전북특별자치도 완주군 화산면,한우,2025-01-23
360,완주군,소농농장,전북특별자치도 완주군 고산면,한우,2025-01-23
361,완주군,세영농장,전북특별자치도 완주군 화산면,한우,2025-01-23
362,완주군,김성곤농장,전북특별자치도 완주군 화산면,한우,2025-01-23
363,완주군,정병태농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
364,완주군,용호농장,전북특별자치도 완주군 고산면,한우,2025-01-23
365,완주군,임성규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
366,완주군,화월,전북특별자치도 완주군 화산면,한우,2025-01-23
367,완주군,이경희농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
368,완주군,천명희농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
369,완주군,몽실농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
370,완주군,조남희농장,전북특별자치도 완주군 화산면,한우,2025-01-23
371,완주군,대성농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
372,완주군,노일환농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
373,완주군,에덴농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
374,완주군,문석권농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
375,완주군,정광수농장,전북특별자치도 완주군 구이면,한우,2025-01-23
376,완주군,이용복농장,전북특별자치도 완주군 구이면,한우,2025-01-23
377,완주군,김기주농장,전북특별자치도 완주군 구이면,한우,2025-01-23
378,완주군,김순봉농장,전북특별자치도 완주군 구이면,한우,2025-01-23
379,완주군,연순농장,전북특별자치도 완주군 화산면,한우,2025-01-23
380,완주군,솔밭농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
381,완주군,튼튼이농장,전북특별자치도 완주군 화산면,한우,2025-01-23
382,완주군,옥규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
383,완주군,박영석농장,전북특별자치도 완주군 화산면,한우,2025-01-23
384,완주군,조중선농장,전북특별자치도 완주군 고산면,한우,2025-01-23
385,완주군,구생회농장,전북특별자치도 완주군 고산면,한우,2025-01-23
386,완주군,푸른들농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
387,완주군,장원영농장,전북특별자치도 완주군 화산면,한우,2025-01-23
388,완주군,이명환농장,전북특별자치도 완주군 화산면,한우,2025-01-23
389,완주군,윤종근농장,전북특별자치도 완주군 화산면,한우,2025-01-23
390,완주군,샬롬농장,전북특별자치도 완주군 화산면,한우,2025-01-23
391,완주군,예봉농장,전북특별자치도 완주군 화산면,한우,2025-01-23
392,완주군,박청래농장,전북특별자치도 완주군 화산면,한우,2025-01-23
393,완주군,윤철중농장,전북특별자치도 완주군 화산면,한우,2025-01-23
394,완주군,양광호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
395,완주군,권조안농장,전북특별자치도 완주군 화산면,한우,2025-01-23
396,완주군,차성규농장,전북특별자치도 완주군 상관면,한우,2025-01-23
397,완주군,광태농장,전북특별자치도 완주군 화산면,한우,2025-01-23
398,완주군,아나농장,전북특별자치도 완주군 화산면,한우,2025-01-23
399,완주군,변성오 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
400,완주군,조중선농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
401,완주군,임문식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
402,완주군,이한철,전북특별자치도 완주군 봉동읍,한우,2025-01-23
403,완주군,박옥규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
404,완주군,최명식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
405,완주군,김순희농장,전북특별자치도 완주군 화산면,한우,2025-01-23
406,완주군,권순정농장,전북특별자치도 완주군 화산면,한우,2025-01-23
407,완주군,정현근농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
408,완주군,우솔농장,전북특별자치도 완주군 고산면,한우,2025-01-23
409,완주군,대건농장,전북특별자치도 완주군 화산면,한우,2025-01-23
410,완주군,박은순농장,전북특별자치도 완주군 화산면,한우,2025-01-23
411,완주군,양철규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
412,완주군,조점호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
413,완주군,백춘이농장,전북특별자치도 완주군 고산면,한우,2025-01-23
414,완주군,박남재농장,전북특별자치도 완주군 화산면,한우,2025-01-23
415,완주군,정명복농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
416,완주군,가은농장,전북특별자치도 완주군 화산면,한우,2025-01-23
417,완주군,박상민농장,전북특별자치도 완주군 상관면,한우,2025-01-23
418,완주군,흥빈이네 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
419,완주군,김흥섭농장,전북특별자치도 완주군 화산면,한우,2025-01-23
420,완주군,대성농장,전북특별자치도 완주군 화산면,한우,2025-01-23
421,완주군,으뜸농장,전북특별자치도 완주군 화산면,한우,2025-01-23
422,완주군,효재농장,전북특별자치도 완주군 화산면,한우,2025-01-23
423,완주군,고산농장,전북특별자치도 완주군 고산면,한우,2025-01-23
424,완주군,화산농장,전북특별자치도 완주군 화산면,한우,2025-01-23
425,완주군,이창현 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
426,완주군,이동문농장,전북특별자치도 완주군 화산면,한우,2025-01-23
427,완주군,소홍섭농장,전북특별자치도 완주군 화산면,한우,2025-01-23
428,완주군,김병기농장,전북특별자치도 완주군 고산면,한우,2025-01-23
429,완주군,유민상농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
430,완주군,기철농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
431,완주군,맑은농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
432,완주군,백주완농장,전북특별자치도 완주군 화산면,한우,2025-01-23
433,완주군,송은혜농장,전북특별자치도 완주군 고산면,한우,2025-01-23
434,완주군,신토불이농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
435,완주군,최창영농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
436,완주군,밤실농장,전북특별자치도 완주군 고산면,한우,2025-01-23
437,완주군,태범농장,전북특별자치도 완주군 화산면,한우,2025-01-23
438,완주군,성남복농장,전북특별자치도 완주군 고산면,한우,2025-01-23
439,완주군,박현수농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
440,완주군,이해수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
441,완주군,이연숙농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
442,완주군,문서옥농장,전북특별자치도 완주군 화산면,한우,2025-01-23
443,완주군,예봉농장 2,전북특별자치도 완주군 화산면,한우,2025-01-23
444,완주군,희망농장,전북특별자치도 완주군 화산면,한우,2025-01-23
445,완주군,이해주농장,전북특별자치도 완주군 화산면,한우,2025-01-23
446,완주군,상모농장,전북특별자치도 완주군 구이면,한우,2025-01-23
447,완주군,이철운농장,전북특별자치도 완주군 화산면,한우,2025-01-23
448,완주군,이규욱농장,전북특별자치도 완주군 화산면,한우,2025-01-23
449,완주군,고한창농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
450,완주군,주재규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
451,완주군,오메농장,전북특별자치도 완주군 고산면,한우,2025-01-23
452,완주군,신상농장,전북특별자치도 완주군 고산면,한우,2025-01-23
453,완주군,국형중농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
454,완주군,엘지농원 2,전북특별자치도 완주군 화산면,한우,2025-01-23
455,완주군,유원근농장,전북특별자치도 완주군 화산면,한우,2025-01-23
456,완주군,하늘뜰 농장,전북특별자치도 완주군 고산면,한우,2025-01-23
457,완주군,표길운농장,전북특별자치도 완주군 상관면,한우,2025-01-23
458,완주군,이문성농장,전북특별자치도 완주군 화산면,한우,2025-01-23
459,완주군,김종성농장,전북특별자치도 완주군 화산면,한우,2025-01-23
460,완주군,준영농장,전북특별자치도 완주군 소양면,한우,2025-01-23
461,완주군,나상이농장,전북특별자치도 완주군 운주면,한우,2025-01-23
462,완주군,진성축산,전북특별자치도 완주군 운주면,한우,2025-01-23
463,완주군,김용권농장,전북특별자치도 완주군 이서면,한우,2025-01-23
464,완주군,임동석농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
465,완주군,능굴농장,전북특별자치도 완주군 화산면,한우,2025-01-23
466,완주군,김형수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
467,완주군,오경태농장,전북특별자치도 완주군 상관면,한우,2025-01-23
468,완주군,임갑철농장,전북특별자치도 완주군 화산면,한우,2025-01-23
469,완주군,박정자농장,전북특별자치도 완주군 고산면,한우,2025-01-23
470,완주군,전광태농장,전북특별자치도 완주군 화산면,한우,2025-01-23
471,완주군,518농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
472,완주군,조명식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
473,완주군,권삼노농장,전북특별자치도 완주군 고산면,한우,2025-01-23
474,완주군,이봉수농장,전북특별자치도 완주군 이서면,한우,2025-01-23
475,완주군,남순옥농장,전북특별자치도 완주군 화산면,한우,2025-01-23
476,완주군,허주영농장,전북특별자치도 완주군 동상면,한우,2025-01-23
477,완주군,백석농장,전북특별자치도 완주군 운주면,한우,2025-01-23
478,완주군,양덕수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
479,완주군,이원자농장 2,전북특별자치도 완주군 화산면,한우,2025-01-23
480,완주군,양희화농장,전북특별자치도 완주군 고산면,한우,2025-01-23
481,완주군,정화농장,전북특별자치도 완주군 화산면,한우,2025-01-23
482,완주군,이동철농장,전북특별자치도 완주군 소양면,한우,2025-01-23
483,완주군,산정농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
484,완주군,이병훈농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
485,완주군,고산농장,전북특별자치도 완주군 고산면,한우,2025-01-23
486,완주군,김종열농장,전북특별자치도 완주군 화산면,한우,2025-01-23
487,완주군,김인석 농장,전북특별자치도 완주군 동상면,한우,2025-01-23
488,완주군,국영호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
489,완주군,장경숙농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
490,완주군,봄빛농장,전북특별자치도 완주군 화산면,한우,2025-01-23
491,완주군,청호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
492,완주군,덕암농장,전북특별자치도 완주군 고산면,한우,2025-01-23
493,완주군,낙천농장,전북특별자치도 완주군 고산면,한우,2025-01-23
494,완주군,버들한우농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
495,완주군,정충부농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
496,완주군,송재호,전북특별자치도 완주군 이서면,한우,2025-01-23
497,완주군,박환식농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
498,완주군,방영선농장,전북특별자치도 완주군 고산면,한우,2025-01-23
499,완주군,조수남농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
500,완주군,심재민농장,전북특별자치도 완주군 화산면,한우,2025-01-23
501,완주군,김경철농장,전북특별자치도 완주군 화산면,한우,2025-01-23
502,완주군,최규현농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
503,완주군,한일농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
504,완주군,이종란농장,전북특별자치도 완주군 고산면,한우,2025-01-23
505,완주군,해피힐농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
506,완주군,임동혁농장,전북특별자치도 완주군 화산면,한우,2025-01-23
507,완주군,백용기농장,전북특별자치도 완주군 상관면,한우,2025-01-23
508,완주군,유희춘농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
509,완주군,소병엽농장,전북특별자치도 완주군 이서면,한우,2025-01-23
510,완주군,국종훈농장,전북특별자치도 완주군 화산면,한우,2025-01-23
511,완주군,김철수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
512,완주군,조쌍봉농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
513,완주군,청수농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
514,완주군,조범희 농장,전북특별자치도 완주군 고산면,한우,2025-01-23
515,완주군,임영철농장,전북특별자치도 완주군 화산면,한우,2025-01-23
516,완주군,이병덕농장,전북특별자치도 완주군 고산면,한우,2025-01-23
517,완주군,김재권농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
518,완주군,이레농장,전북특별자치도 완주군 고산면,한우,2025-01-23
519,완주군,박종관농장,전북특별자치도 완주군 경천면,한우,2025-01-23
520,완주군,변성오농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
521,완주군,임석조농장,전북특별자치도 완주군 화산면,한우,2025-01-23
522,완주군,유해백농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
523,완주군,윤신농장,전북특별자치도 완주군 고산면,한우,2025-01-23
524,완주군,이희철농장,전북특별자치도 완주군 이서면,한우,2025-01-23
525,완주군,임재금농장,전북특별자치도 완주군 화산면,한우,2025-01-23
526,완주군,김춘자농장,전북특별자치도 완주군 화산면,한우,2025-01-23
527,완주군,고남철농장,전북특별자치도 완주군 화산면,한우,2025-01-23
528,완주군,상호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
529,완주군,권인택농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
530,완주군,강재원농장,전북특별자치도 완주군 이서면,한우,2025-01-23
531,완주군,권성로농장,전북특별자치도 완주군 고산면,한우,2025-01-23
532,완주군,임종집농장,전북특별자치도 완주군 고산면,한우,2025-01-23
533,완주군,이상목농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
534,완주군,백상운농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
535,완주군,평지농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
536,완주군,인종수농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
537,완주군,김철상농장,전북특별자치도 완주군 고산면,한우,2025-01-23
538,완주군,김유자농장,전북특별자치도 완주군 화산면,한우,2025-01-23
539,완주군,한광석농장,전북특별자치도 완주군 이서면,한우,2025-01-23
540,완주군,윤대현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
541,완주군,웅이농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
542,완주군,구재근농장,전북특별자치도 완주군 고산면,한우,2025-01-23
543,완주군,정병학농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
544,완주군,이종현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
545,완주군,마더농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
546,완주군,샬롬농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
547,완주군,이금철농장,전북특별자치도 완주군 고산면,한우,2025-01-23
548,완주군,김희태농장,전북특별자치도 완주군 고산면,한우,2025-01-23
549,완주군,박순식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
550,완주군,최태중농장,전북특별자치도 완주군 상관면,한우,2025-01-23
551,완주군,이종화농장,전북특별자치도 완주군 화산면,한우,2025-01-23
552,완주군,김영식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
553,완주군,봉황농장,전북특별자치도 완주군 화산면,한우,2025-01-23
554,완주군,고전성농장,전북특별자치도 완주군 고산면,한우,2025-01-23
555,완주군,락송농장,전북특별자치도 완주군 화산면,한우,2025-01-23
556,완주군,유한식농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
557,완주군,임석기농장,전북특별자치도 완주군 고산면,한우,2025-01-23
558,완주군,정재석농장,전북특별자치도 완주군 상관면,한우,2025-01-23
559,완주군,최기수농장,전북특별자치도 완주군 고산면,한우,2025-01-23
560,완주군,조영미농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
561,완주군,어우농장,전북특별자치도 완주군 고산면,한우,2025-01-23
562,완주군,신한철농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
563,완주군,수정농장,전북특별자치도 완주군 화산면,한우,2025-01-23
564,완주군,최소영농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
565,완주군,유지태농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
566,완주군,강신종농장,전북특별자치도 완주군 화산면,한우,2025-01-23
567,완주군,석이농장,전북특별자치도 완주군 화산면,한우,2025-01-23
568,완주군,김평회농장,전북특별자치도 완주군 화산면,한우,2025-01-23
569,완주군,곽규섭농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
570,완주군,강명수농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
571,완주군,유현숙농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
572,완주군,김왕흠농장,전북특별자치도 완주군 구이면,한우,2025-01-23
573,완주군,백차종농장,전북특별자치도 완주군 구이면,한우,2025-01-23
574,완주군,황해자 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
575,완주군,정다운농장,전북특별자치도 완주군 화산면,한우,2025-01-23
576,완주군,신용농장,전북특별자치도 완주군 고산면,한우,2025-01-23
577,완주군,유판쇠농장,전북특별자치도 완주군 고산면,한우,2025-01-23
578,완주군,유리농장(화산),전북특별자치도 완주군 화산면,한우,2025-01-23
579,완주군,참샘농장,전북특별자치도 완주군 화산면,한우,2025-01-23
580,완주군,김종길농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
581,완주군,윤장중농장,전북특별자치도 완주군 고산면,한우,2025-01-23
582,완주군,정식농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
583,완주군,유춘식농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
584,완주군,유병진농장,전북특별자치도 완주군 고산면,한우,2025-01-23
585,완주군,장금호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
586,완주군,영소 농장,전북특별자치도 완주군 고산면,한우,2025-01-23
587,완주군,삼복농장,전북특별자치도 완주군 화산면,한우,2025-01-23
588,완주군,천일농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
589,완주군,웅비농장,전북특별자치도 완주군 화산면,한우,2025-01-23
590,완주군,국윤호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
591,완주군,진우네농장,전북특별자치도 완주군 화산면,한우,2025-01-23
592,완주군,박병춘농장,전북특별자치도 완주군 화산면,한우,2025-01-23
593,완주군,유연수농장,전북특별자치도 완주군 소양면,한우,2025-01-23
594,완주군,이존근농장,전북특별자치도 완주군 고산면,한우,2025-01-23
595,완주군,김진동농장,전북특별자치도 완주군 고산면,한우,2025-01-23
596,완주군,박종은농장,전북특별자치도 완주군 고산면,한우,2025-01-23
597,완주군,이상문농장,전북특별자치도 완주군 고산면,한우,2025-01-23
598,완주군,정경식농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
599,완주군,이상재농장,전북특별자치도 완주군 화산면,한우,2025-01-23
600,완주군,김선자농장,전북특별자치도 완주군 화산면,한우,2025-01-23
601,완주군,이경서농장,전북특별자치도 완주군 고산면,한우,2025-01-23
602,완주군,이인섭농장,전북특별자치도 완주군 고산면,한우,2025-01-23
603,완주군,이용준농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
604,완주군,이종태농장,전북특별자치도 완주군 화산면,한우,2025-01-23
605,완주군,장현상농장,전북특별자치도 완주군 고산면,한우,2025-01-23
606,완주군,김종길 농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
607,완주군,이전농장(대성농장),전북특별자치도 완주군 비봉면,한우,2025-01-23
608,완주군,이정기농장,전북특별자치도 완주군 화산면,한우,2025-01-23
609,완주군,김봉진농장,전북특별자치도 완주군 화산면,한우,2025-01-23
610,완주군,이경규농장,전북특별자치도 완주군 고산면,한우,2025-01-23
611,완주군,화산골힐링농장,전북특별자치도 완주군 화산면,한우,2025-01-23
612,완주군,혜성농장,전북특별자치도 완주군 고산면,한우,2025-01-23
613,완주군,한왕수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
614,완주군,김문환농장,전북특별자치도 완주군 화산면,한우,2025-01-23
615,완주군,오영택농장,전북특별자치도 완주군 화산면,한우,2025-01-23
616,완주군,박경순농장,전북특별자치도 완주군 고산면,한우,2025-01-23
617,완주군,원우농장,전북특별자치도 완주군 화산면,한우,2025-01-23
618,완주군,조완식농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
619,완주군,전병호 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
620,완주군,창화농장,전북특별자치도 완주군 화산면,한우,2025-01-23
621,완주군,오기용 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
622,완주군,서승복 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
623,완주군,형제농장,전북특별자치도 완주군 고산면,한우,2025-01-23
624,완주군,성빈농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
625,완주군,송진희 농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
626,완주군,백중기 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
627,완주군,임영자 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
628,완주군,강일석 농장,전북특별자치도 완주군 고산면,한우,2025-01-23
629,완주군,평화농장,전북특별자치도 완주군 고산면,한우,2025-01-23
630,완주군,화산농장3,전북특별자치도 완주군 비봉면,한우,2025-01-23
631,완주군,미남농장,전북특별자치도 완주군 화산면,한우,2025-01-23
632,완주군,차진갑 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
633,완주군,대흥 농장,전북특별자치도 완주군 소양면,한우,2025-01-23
634,완주군,문홍섭 농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
635,완주군,화월그린농장,전북특별자치도 완주군 화산면,한우,2025-01-23
636,완주군,그린한우농장,전북특별자치도 완주군 고산면,한우,2025-01-23
637,완주군,이시영농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
638,완주군,크라운농장,전북특별자치도 완주군 고산면,한우,2025-01-23
639,완주군,부자농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
640,완주군,용선농장,전북특별자치도 완주군 화산면,한우,2025-01-23
641,완주군,에벤에셀,전북특별자치도 완주군 고산면,한우,2025-01-23
642,완주군,국현철 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
643,완주군,박일진농장,전북특별자치도 완주군 화산면,한우,2025-01-23
644,완주군,샬롬농장,전북특별자치도 완주군 화산면,한우,2025-01-23
645,완주군,이창열농장,전북특별자치도 완주군 화산면,한우,2025-01-23
646,완주군,유영태 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
647,완주군,정은숙 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
648,완주군,선우농장,전북특별자치도 완주군 화산면,한우,2025-01-23
649,완주군,만운농장,전북특별자치도 완주군 구이면,한우,2025-01-23
650,완주군,성일농장,전북특별자치도 완주군 고산면,한우,2025-01-23
651,완주군,영광농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
652,완주군,김종백농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
653,완주군,국평호 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
654,완주군,김진만 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
655,완주군,이승구 농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
656,완주군,서민식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
657,완주군,부자농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
658,완주군,백응용 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
659,완주군,유춘옥농장 2,전북특별자치도 완주군 화산면,한우,2025-01-23
660,완주군,이정수농장 3,전북특별자치도 완주군 화산면,한우,2025-01-23
661,완주군,임태현 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
662,완주군,이임표농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
663,완주군,유리농장(비봉),전북특별자치도 완주군 비봉면,한우,2025-01-23
664,완주군,김순자농장,전북특별자치도 완주군 화산면,한우,2025-01-23
665,완주군,유일농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
666,완주군,장익성 농장,전북특별자치도 완주군 고산면,한우,2025-01-23
667,완주군,최판교농장,전북특별자치도 완주군 고산면,한우,2025-01-23
668,완주군,서진석농장,전북특별자치도 완주군 구이면,한우,2025-01-23
669,완주군,유춘옥농장,전북특별자치도 완주군 화산면,한우,2025-01-23
670,완주군,장중철 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
671,완주군,박선순 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
672,완주군,산들맘농장,전북특별자치도 완주군 화산면,한우,2025-01-23
673,완주군,김영범농장,전북특별자치도 완주군 고산면,한우,2025-01-23
674,완주군,최병철 농장,전북특별자치도 완주군 운주면,한우,2025-01-23
675,완주군,강해숙농장,전북특별자치도 완주군 고산면,한우,2025-01-23
676,완주군,창성농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
677,완주군,형제농장,전북특별자치도 완주군 상관면,한우,2025-01-23
678,완주군,행복농장 6,전북특별자치도 완주군 화산면,한우,2025-01-23
679,완주군,송경수농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
680,완주군,양소학 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
681,완주군,준성농장,전북특별자치도 완주군 화산면,한우,2025-01-23
682,완주군,화산골2농장,전북특별자치도 완주군 화산면,한우,2025-01-23
683,완주군,정규농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
684,완주군,진형농장,전북특별자치도 완주군 상관면,한우,2025-01-23
685,완주군,무련농장,전북특별자치도 완주군 고산면,한우,2025-01-23
686,완주군,한울농장,전북특별자치도 완주군 고산면,한우,2025-01-23
687,완주군,행복농장 2,전북특별자치도 완주군 화산면,한우,2025-01-23
688,완주군,이두현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
689,완주군,송영춘,전북특별자치도 완주군 봉동읍,한우,2025-01-23
690,완주군,대건농장,전북특별자치도 완주군 화산면,한우,2025-01-23
691,완주군,김학렬 남봉농장,전북특별자치도 완주군 고산면,한우,2025-01-23
692,완주군,정도중농장,전북특별자치도 완주군 화산면,한우,2025-01-23
693,완주군,황소농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
694,완주군,김옥자농장,전북특별자치도 완주군 고산면,한우,2025-01-23
695,완주군,완주농장,전북특별자치도 완주군 고산면,한우,2025-01-23
696,완주군,송석환농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
697,완주군,김용범농장 2,전북특별자치도 완주군 화산면,한우,2025-01-23
698,완주군,백복현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
699,완주군,장명세농장,전북특별자치도 완주군 고산면,한우,2025-01-23
700,완주군,대수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
701,완주군,동찬한우,전북특별자치도 완주군 소양면,한우,2025-01-23
702,완주군,하은농장,전북특별자치도 완주군 고산면,한우,2025-01-23
703,완주군,건강이농장,전북특별자치도 완주군 화산면,한우,2025-01-23
704,완주군,박혁규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
705,완주군,천호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
706,완주군,이해수농장2,전북특별자치도 완주군 화산면,한우,2025-01-23
707,완주군,이두현농장2,전북특별자치도 완주군 고산면,한우,2025-01-23
708,완주군,연옥농장,전북특별자치도 완주군 고산면,한우,2025-01-23
709,완주군,전북미경산한우협동조합,전북특별자치도 완주군 고산면,한우,2025-01-23
710,완주군,장미현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
711,완주군,필립보농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
712,완주군,최대운남봉농장,전북특별자치도 완주군 고산면,한우,2025-01-23
713,완주군,만덕농장,전북특별자치도 완주군 상관면,한우,2025-01-23
714,완주군,김한곤농장,전북특별자치도 완주군 상관면,한우,2025-01-23
715,완주군,금섭농장,전북특별자치도 완주군 고산면,한우,2025-01-23
716,완주군,송정운농장,전북특별자치도 완주군 경천면,한우,2025-01-23
717,완주군,산마루 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
718,완주군,필농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
719,완주군,옥자농장,전북특별자치도 완주군 화산면,한우,2025-01-23
